product_slug,product_name,image_count_ok,total_images,bad_images,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_11,image_12
dress-shoe-kct-menswear-studded-sneakers-dazzling-urban-luxury,Gold Dress Shoe Kct Menswear Studded Sneakers Dazzling Urban Luxury,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/dress-shoe_kct-menswear-gold-studded-sneakers-dazzling-urban-luxury_1.0.jpg,,,,,,,,,,,
dress-shoe-prom-loafers-mens-sparkle-dress,Silver Black Silver Dress Shoe Prom Loafers Mens Sparkle Dress,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/dress-shoe_silver-prom-loafers-mens-black-silver-sparkle-dress_1.0.jpg,,,,,,,,,,,
dress-shoe-leather-sneakers-with-detail-prom-professional,Black Red Dress Shoe Leather Sneakers With Detail Prom Professional,3,3,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/dress-shoe_white-leather-sneakers-with-red-detail-prom-professional_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/dress-shoe_black-leather-sneakers-with-gold-detail-prom-professional_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/dress-shoe_black-leather-sneakers-with-red-detail-prom-professional_1.0.jpg,,,,,,,,,
dress-shoe-prom-loafers-mens-sparkle-dress-shoes,Gold Dress Shoe Prom Loafers Mens Sparkle Dress Shoes,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/dress-shoe_gold-prom-loafers-mens-sparkle-dress-shoes_1.0.jpg,,,,,,,,,,,
dress-shoe-rhinestone-prom-loafers,Black Gold Dress Shoe Rhinestone Prom Loafers,2,2,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/dress-shoe_white-gold-rhinestone-prom-loafers_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/dress-shoe_black-gold-rhinestone-prom-loafers_1.0.jpg,,,,,,,,,,
dress-shoe-sparkling-loafers-prom-shoes,Royal Blue Dress Shoe Sparkling Loafers Prom Shoes,4,4,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/dress-shoe_sparkling-black-loafers-prom-shoes_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/dress-shoe_sparkling-silver-loafers-prom-shoes_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/dress-shoe_sparkling-gold-loafers-prom-shoes_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/dress-shoe_sparkling-royal-blue-loafers-prom-shoes_1.0.jpg,,,,,,,,
dress-shoe-studded-low-top-sneakers-edgy-elegance,Silver Dress Shoe Studded Low Top Sneakers Edgy Elegance,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/dress-shoe_silver-studded-low-top-sneakers-edgy-elegance_1.0.jpg,,,,,,,,,,,
dress-shoe-velvet-loafers-spikes-prom-shoes,Royal Blue Gold Dress Shoe Velvet Loafers Spikes Prom Shoes,6,6,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/dress-shoe_black-velvet-loafers-gold-spikes-prom-shoes_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/dress-shoe_purple-velvet-loafers-gold-spikes-prom-shoes_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/dress-shoe_white-velvet-loafers-gold-spikes-prom-shoes_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/dress-shoe_pink-velvet-loafers-spikes-prom-shoes_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_4/dress-shoe_red-velvet-loafers-gold-spikes-prom-shoes_1.0.jpg,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/dress-shoe_royal-blue-velvet-loafers-gold-spikes-prom-shoes_1.0.jpg,,,,,,
dress-shoe-sparkling-dusty-loafers-prom-shoes,Rose Dress Shoe Sparkling Dusty Loafers Prom Shoes,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_3/dress-shoe_sparkling-dusty-rose-loafers-prom-shoes_1.0.jpg,,,,,,,,,,,
dress-shoe-sparkling-emerald-loafers-prom-shoes,Green Dress Shoe Sparkling Emerald Loafers Prom Shoes,1,1,0,https://pub-5cd8c531c0034986bf6282a223bd0564.r2.dev/batch_1/batch_2/dress-shoe_sparkling-emerald-green-loafers-prom-shoes_1.0.jpg,,,,,,,,,,,
